touch_id,customer_id,campaign_name,channel,sent_date,opened,converted
MKT800044,C100011,Loyalty Rewards Q2 2026,Social Media Ad,2023-07-31,1,0
MKT800045,C100011,New Year 2026,Social Media Ad,2025-01-19,0,0
MKT800046,C100011,Diwali Offer 2025,Email,2024-01-02,0,0
MKT800047,C100012,New Year 2026,Email,2021-03-10,0,0
MKT800048,C100012,Loyalty Rewards Q2 2026,Social Media Ad,2024-12-22,1,0
MKT800049,C100012,Spring Refresh 2026,Push Notification,2024-08-31,0,0
MKT800050,C100012,Summer Sale 2025,Search Ad,2024-03-17,1,0
MKT800051,C100013,Flash Sale July 2026,Search Ad,2026-02-07,0,1
MKT800052,C100013,Black Friday 2025,Social Media Ad,2025-09-05,1,0
MKT800053,C100013,Diwali Offer 2025,Search Ad,2024-08-07,0,0
MKT800054,C100013,Black Friday 2025,Push Notification,2024-01-31,1,0
MKT800055,C100013,New Year 2026,Social Media Ad,2026-06-29,1,0
MKT800056,C100014,Diwali Offer 2025,Social Media Ad,2024-06-18,0,0
MKT800057,C100014,Flash Sale July 2026,SMS,2023-06-14,0,0
MKT800058,C100014,Diwali Offer 2025,Social Media Ad,2026-04-30,0,0
MKT800059,C100015,Flash Sale July 2026,SMS,2022-01-04,0,0
MKT800060,C100015,Loyalty Rewards Q2 2026,SMS,2023-01-18,1,0
MKT800061,C100015,Spring Refresh 2026,SMS,2025-09-15,1,0
MKT800062,C100015,Diwali Offer 2025,Email,2025-03-29,0,0
MKT800063,C100015,Spring Refresh 2026,Search Ad,2026-02-07,1,0
MKT800064,C100016,Black Friday 2025,Social Media Ad,2022-01-17,0,0
MKT800065,C100016,New Year 2026,Social Media Ad,2022-12-03,0,0
MKT800066,C100016,Flash Sale July 2026,SMS,2026-05-31,0,0
MKT800067,C100016,Black Friday 2025,Search Ad,2025-02-05,1,1
MKT800068,C100016,Black Friday 2025,SMS,2025-06-21,1,0
MKT800069,C100016,New Year 2026,Push Notification,2021-12-14,1,0
MKT800070,C100016,Diwali Offer 2025,Social Media Ad,2024-08-27,0,0
MKT800071,C100017,Loyalty Rewards Q2 2026,Search Ad,2021-09-22,0,0
MKT800072,C100017,Black Friday 2025,SMS,2021-02-24,0,0
MKT800073,C100017,Spring Refresh 2026,Social Media Ad,2023-02-01,0,1
MKT800074,C100018,Summer Sale 2025,Push Notification,2021-01-22,1,0
MKT800075,C100018,Loyalty Rewards Q2 2026,Search Ad,2024-03-15,1,0
MKT800076,C100018,Loyalty Rewards Q2 2026,Email,2024-09-05,1,0
MKT800077,C100018,Loyalty Rewards Q2 2026,Email,2022-03-07,0,0
MKT800078,C100018,Loyalty Rewards Q2 2026,Email,2021-09-14,0,0
MKT800079,C100019,Loyalty Rewards Q2 2026,SMS,2022-09-21,1,0
MKT800080,C100019,Loyalty Rewards Q2 2026,Email,2023-10-16,1,0
MKT800081,C100019,Loyalty Rewards Q2 2026,Social Media Ad,2021-01-04,0,0
MKT800082,C100019,Flash Sale July 2026,SMS,2026-07-06,0,0
MKT800083,C100020,Diwali Offer 2025,Email,2022-10-31,1,0
MKT800084,C100020,Flash Sale July 2026,SMS,2026-01-29,0,1
MKT800085,C100021,Summer Sale 2025,Push Notification,2026-04-30,1,0
MKT800086,C100021,Spring Refresh 2026,Push Notification,2023-10-26,1,0
MKT800087,C100021,Summer Sale 2025,Search Ad,2023-02-19,0,0
MKT800088,C100021,New Year 2026,Social Media Ad,2023-02-14,1,0
MKT800089,C100022,New Year 2026,Search Ad,2023-11-23,1,0
MKT800090,C100022,Black Friday 2025,Push Notification,2026-08-07,1,0
MKT800091,C100023,Loyalty Rewards Q2 2026,Email,2025-06-30,1,0
MKT800092,C100023,Black Friday 2025,Search Ad,2026-07-12,1,0
MKT800093,C100023,New Year 2026,Social Media Ad,2023-07-03,1,0
MKT800094,C100023,Loyalty Rewards Q2 2026,Push Notification,2021-02-05,1,0
MKT800095,C100023,New Year 2026,Search Ad,2023-07-11,1,0
MKT800096,C100023,Flash Sale July 2026,Push Notification,2024-12-30,1,0
MKT800097,C100024,Spring Refresh 2026,Search Ad,2023-09-17,0,0
MKT800098,C100024,Black Friday 2025,Push Notification,2023-06-25,0,0
MKT800099,C100025,Black Friday 2025,SMS,2024-06-25,1,0
MKT800100,C100026,Loyalty Rewards Q2 2026,Social Media Ad,2024-08-02,0,0
MKT800101,C100026,New Year 2026,Email,2021-10-15,1,0
MKT800102,C100026,Summer Sale 2025,Search Ad,2021-06-25,1,0
MKT800103,C100026,Spring Refresh 2026,Email,2025-05-10,1,1
MKT800104,C100026,Spring Refresh 2026,Social Media Ad,2025-06-01,1,0
MKT800105,C100026,New Year 2026,Email,2023-01-22,1,0
MKT800106,C100026,Summer Sale 2025,Social Media Ad,2021-10-20,0,0
MKT800107,C100028,Spring Refresh 2026,SMS,2025-05-14,0,0
MKT800108,C100028,Summer Sale 2025,Push Notification,2025-04-06,0,1
MKT800109,C100028,Black Friday 2025,Email,2025-09-14,0,0
MKT800110,C100028,Flash Sale July 2026,Social Media Ad,2021-10-27,1,0
MKT800111,C100028,Loyalty Rewards Q2 2026,Push Notification,2022-06-15,0,0
MKT800112,C100028,Flash Sale July 2026,Email,2021-09-15,1,0
MKT800113,C100028,New Year 2026,SMS,2026-03-13,1,0
MKT800114,C100028,New Year 2026,Push Notification,2021-06-28,1,1
MKT800115,C100029,Flash Sale July 2026,Search Ad,2021-07-05,0,0
MKT800116,C100030,Summer Sale 2025,SMS,2022-08-07,0,0
MKT800117,C100030,Diwali Offer 2025,Social Media Ad,2022-09-30,1,0
MKT800118,C100030,Spring Refresh 2026,Social Media Ad,2025-04-24,0,0
MKT800119,C100030,Loyalty Rewards Q2 2026,Social Media Ad,2026-06-16,0,0
MKT800120,C100030,Loyalty Rewards Q2 2026,Push Notification,2025-01-15,1,0
MKT800121,C100030,Spring Refresh 2026,SMS,2022-03-14,1,0
MKT800122,C100031,Loyalty Rewards Q2 2026,Push Notification,2021-09-29,1,0
MKT800123,C100031,New Year 2026,Push Notification,2024-06-19,1,0
MKT800124,C100031,New Year 2026,Email,2024-04-01,1,0
MKT800125,C100031,Spring Refresh 2026,Push Notification,2021-11-01,1,1
MKT800126,C100031,Summer Sale 2025,Search Ad,2021-07-06,1,0
MKT800127,C100031,Diwali Offer 2025,Social Media Ad,2025-06-13,1,0
MKT800128,C100031,Black Friday 2025,SMS,2022-10-29,0,0
MKT800129,C100031,Loyalty Rewards Q2 2026,Social Media Ad,2023-07-29,0,0
MKT800130,C100031,Black Friday 2025,SMS,2023-07-09,1,0
MKT800131,C100031,New Year 2026,Social Media Ad,2025-07-16,1,0
MKT800132,C100032,New Year 2026,Push Notification,2022-01-18,0,0
MKT800133,C100032,Diwali Offer 2025,Push Notification,2024-04-03,1,0
MKT800134,C100032,Loyalty Rewards Q2 2026,SMS,2025-04-24,1,0
MKT800135,C100032,Diwali Offer 2025,SMS,2025-02-10,0,0
MKT800136,C100033,New Year 2026,Social Media Ad,2024-05-20,1,0
MKT800137,C100033,Diwali Offer 2025,Push Notification,2025-03-27,1,0
MKT800138,C100033,Black Friday 2025,Push Notification,2021-12-18,1,0
MKT800139,C100034,Loyalty Rewards Q2 2026,SMS,2021-10-25,1,0
MKT800140,C100034,Loyalty Rewards Q2 2026,Search Ad,2021-08-09,1,0
MKT800141,C100034,Loyalty Rewards Q2 2026,Email,2026-01-18,1,0
MKT800142,C100034,Spring Refresh 2026,Push Notification,2024-01-23,0,0
MKT800143,C100035,Diwali Offer 2025,SMS,2022-02-04,0,0
MKT800144,C100035,Loyalty Rewards Q2 2026,Search Ad,2023-07-21,1,0
MKT800145,C100035,Diwali Offer 2025,Social Media Ad,2021-11-06,1,0
MKT800146,C100035,Loyalty Rewards Q2 2026,Search Ad,2022-12-27,1,1
MKT800147,C100035,Flash Sale July 2026,Email,2021-08-05,1,0
MKT800148,C100035,Black Friday 2025,Search Ad,2023-03-06,1,0
MKT800149,C100036,Black Friday 2025,Social Media Ad,2021-06-10,0,0
MKT800150,C100036,Black Friday 2025,Social Media Ad,2025-11-07,1,0
MKT800151,C100036,New Year 2026,Push Notification,2025-06-11,0,0
MKT800152,C100036,Summer Sale 2025,Social Media Ad,2023-12-06,1,0
MKT800153,C100036,Black Friday 2025,Push Notification,2025-06-29,0,0
MKT800154,C100037,Black Friday 2025,Social Media Ad,2023-07-24,1,0
MKT800155,C100037,New Year 2026,Social Media Ad,2024-01-14,1,0
MKT800156,C100037,Summer Sale 2025,Social Media Ad,2021-07-25,1,0
MKT800157,C100038,Summer Sale 2025,Social Media Ad,2026-05-04,1,0
MKT800158,C100038,Loyalty Rewards Q2 2026,Email,2024-09-11,1,0
MKT800159,C100039,Black Friday 2025,Social Media Ad,2024-09-06,0,0
MKT800160,C100039,Summer Sale 2025,Social Media Ad,2025-06-14,0,0
MKT800161,C100040,Loyalty Rewards Q2 2026,Social Media Ad,2025-05-28,1,0
MKT800162,C100040,Loyalty Rewards Q2 2026,Email,2024-06-25,1,0
MKT800163,C100040,Diwali Offer 2025,Email,2021-01-04,0,0
MKT800164,C100041,Loyalty Rewards Q2 2026,Email,2025-10-05,0,0
MKT800165,C100041,Loyalty Rewards Q2 2026,Social Media Ad,2022-11-06,0,0
MKT800166,C100041,New Year 2026,SMS,2024-06-12,0,0
MKT800167,C100041,Spring Refresh 2026,SMS,2023-11-11,1,0
MKT800168,C100041,Flash Sale July 2026,Push Notification,2022-08-06,0,0
MKT800169,C100041,Black Friday 2025,Email,2024-12-11,0,1
MKT800170,C100041,Black Friday 2025,SMS,2022-03-29,1,1
MKT800171,C100041,Diwali Offer 2025,SMS,2026-02-10,1,0
MKT800172,C100041,Black Friday 2025,Social Media Ad,2025-04-27,0,0
MKT800173,C100042,Flash Sale July 2026,SMS,2022-11-19,0,0
MKT800174,C100042,Flash Sale July 2026,SMS,2025-04-22,1,1
MKT800175,C100042,New Year 2026,Push Notification,2022-08-16,1,0
MKT800176,C100043,Flash Sale July 2026,SMS,2021-11-24,1,0
MKT800177,C100043,Black Friday 2025,Push Notification,2021-05-30,1,0
MKT800178,C100043,Summer Sale 2025,Email,2024-09-29,1,0
MKT800179,C100043,Flash Sale July 2026,Push Notification,2023-05-27,1,1
MKT800180,C100043,Summer Sale 2025,Search Ad,2021-12-18,1,0
MKT800181,C100044,Spring Refresh 2026,Push Notification,2021-07-13,1,0
MKT800182,C100044,Loyalty Rewards Q2 2026,Social Media Ad,2023-07-23,0,0
MKT800183,C100046,Diwali Offer 2025,Push Notification,2025-05-29,1,0
MKT800184,C100046,Diwali Offer 2025,SMS,2025-06-22,1,0
MKT800185,C100046,New Year 2026,Push Notification,2025-04-30,1,0
MKT800186,C100046,Loyalty Rewards Q2 2026,Search Ad,2023-09-15,0,0
MKT800187,C100046,Loyalty Rewards Q2 2026,Search Ad,2026-04-28,1,0
MKT800188,C100047,Diwali Offer 2025,Email,2021-01-19,0,0
MKT800189,C100047,Loyalty Rewards Q2 2026,Search Ad,2023-06-15,1,0
MKT800190,C100047,Diwali Offer 2025,Search Ad,2021-10-02,1,0
MKT800191,C100047,Spring Refresh 2026,Push Notification,2024-11-04,0,0
MKT800192,C100048,Spring Refresh 2026,Search Ad,2023-04-18,1,0
MKT800193,C100048,Spring Refresh 2026,SMS,2024-07-03,0,0
MKT800194,C100048,Diwali Offer 2025,Social Media Ad,2023-12-26,1,0
MKT800195,C100048,Summer Sale 2025,Push Notification,2024-04-27,1,0
MKT800196,C100048,New Year 2026,Social Media Ad,2024-10-24,1,0
MKT800197,C100049,Diwali Offer 2025,SMS,2024-10-16,1,0
MKT800198,C100049,Black Friday 2025,Push Notification,2022-10-02,1,0
MKT800199,C100049,Spring Refresh 2026,Email,2021-08-02,0,0
MKT800200,C100049,Flash Sale July 2026,Social Media Ad,2021-07-31,0,0
MKT800201,C100049,Black Friday 2025,Search Ad,2021-02-13,0,0
MKT800202,C100050,New Year 2026,Email,2024-03-28,0,0
MKT800203,C100051,Flash Sale July 2026,SMS,2024-03-25,1,0
MKT800204,C100051,New Year 2026,Social Media Ad,2025-08-01,1,0
MKT800205,C100051,Loyalty Rewards Q2 2026,Push Notification,2026-02-04,1,0
MKT800206,C100051,Diwali Offer 2025,Push Notification,2025-02-22,1,0
MKT800207,C100051,Black Friday 2025,Social Media Ad,2024-11-25,1,0
MKT800208,C100051,Summer Sale 2025,Push Notification,2021-03-27,0,1
MKT800209,C100051,Diwali Offer 2025,Search Ad,2022-03-20,1,0
MKT800210,C100051,Loyalty Rewards Q2 2026,SMS,2026-02-05,1,0
MKT800211,C100051,Flash Sale July 2026,Push Notification,2025-05-26,1,0
MKT800212,C100052,Black Friday 2025,Email,2024-12-19,1,1
MKT800213,C100052,Black Friday 2025,Search Ad,2021-07-01,1,0
MKT800214,C100052,Flash Sale July 2026,Push Notification,2025-01-06,1,0
MKT800215,C100053,Summer Sale 2025,Search Ad,2025-07-06,0,0
MKT800216,C100053,New Year 2026,Push Notification,2021-10-25,0,1
MKT800217,C100053,Black Friday 2025,Email,2024-10-24,1,0
MKT800218,C100053,Loyalty Rewards Q2 2026,SMS,2024-03-11,1,0
MKT800219,C100054,New Year 2026,SMS,2023-02-15,0,0
MKT800220,C100054,Loyalty Rewards Q2 2026,Push Notification,2023-05-05,1,0
MKT800221,C100054,Flash Sale July 2026,Email,2023-07-18,1,1
MKT800222,C100054,Summer Sale 2025,Push Notification,2024-06-28,1,0
MKT800223,C100054,New Year 2026,Social Media Ad,2021-12-01,1,0
MKT800224,C100054,Flash Sale July 2026,Social Media Ad,2021-02-05,0,0
MKT800225,C100054,Spring Refresh 2026,Email,2022-04-05,1,0
MKT800226,C100054,Diwali Offer 2025,Search Ad,2023-07-30,0,0
MKT800227,C100054,Black Friday 2025,Email,2021-03-08,1,1
MKT800228,C100055,Diwali Offer 2025,Push Notification,2022-01-29,1,0
MKT800229,C100056,Black Friday 2025,Push Notification,2025-10-20,0,0
MKT800230,C100056,Loyalty Rewards Q2 2026,Push Notification,2023-12-31,0,0
MKT800231,C100056,Loyalty Rewards Q2 2026,Email,2025-10-07,1,0
MKT800232,C100056,Black Friday 2025,Push Notification,2025-06-09,0,0
MKT800233,C100056,Black Friday 2025,Push Notification,2025-10-01,1,0
MKT800234,C100056,Loyalty Rewards Q2 2026,Email,2025-03-17,0,0
MKT800235,C100056,New Year 2026,Push Notification,2025-01-22,0,1
MKT800236,C100056,Spring Refresh 2026,Push Notification,2022-05-03,1,0
MKT800237,C100057,Flash Sale July 2026,Social Media Ad,2024-09-22,0,0
MKT800238,C100057,Diwali Offer 2025,Push Notification,2025-04-09,1,0
MKT800239,C100058,New Year 2026,Search Ad,2022-06-12,0,0
MKT800240,C100059,Summer Sale 2025,Search Ad,2024-11-21,1,1
MKT800241,C100060,Flash Sale July 2026,Push Notification,2025-12-20,1,0
MKT800242,C100060,New Year 2026,SMS,2025-10-15,0,1
MKT800243,C100060,New Year 2026,Search Ad,2021-11-17,0,0
MKT800244,C100061,New Year 2026,Push Notification,2026-04-25,0,1
MKT800245,C100061,Summer Sale 2025,Social Media Ad,2022-07-04,1,0
MKT800246,C100061,Black Friday 2025,Email,2024-04-18,1,0
MKT800247,C100061,Loyalty Rewards Q2 2026,Push Notification,2023-07-11,0,0
MKT800248,C100061,Summer Sale 2025,Push Notification,2023-05-06,0,0
MKT800249,C100062,New Year 2026,Push Notification,2025-07-25,0,0
MKT800250,C100062,Spring Refresh 2026,Push Notification,2025-03-15,1,0
MKT800251,C100062,Diwali Offer 2025,Push Notification,2021-04-17,1,0
MKT800252,C100062,Flash Sale July 2026,Email,2026-08-06,0,0
MKT800253,C100062,Spring Refresh 2026,Search Ad,2025-12-06,1,0
MKT800254,C100062,Flash Sale July 2026,Email,2025-06-06,0,1
MKT800255,C100063,New Year 2026,Push Notification,2021-03-27,0,1
MKT800256,C100064,Spring Refresh 2026,Social Media Ad,2024-08-18,1,0
MKT800257,C100064,Loyalty Rewards Q2 2026,Push Notification,2026-01-14,0,0
MKT800258,C100064,Diwali Offer 2025,Email,2022-09-29,0,0
MKT800259,C100064,Black Friday 2025,Social Media Ad,2021-01-14,1,0
MKT800260,C100065,Summer Sale 2025,Push Notification,2026-01-03,1,0
MKT800261,C100065,Loyalty Rewards Q2 2026,SMS,2021-12-22,0,0
MKT800262,C100065,Loyalty Rewards Q2 2026,SMS,2021-06-30,1,0
MKT800263,C100065,Black Friday 2025,Search Ad,2021-12-11,0,0
MKT800264,C100066,Diwali Offer 2025,Search Ad,2023-11-05,1,0
MKT800265,C100066,Loyalty Rewards Q2 2026,Search Ad,2021-03-03,1,0
MKT800266,C100066,Black Friday 2025,Push Notification,2026-06-25,1,1
MKT800267,C100066,Black Friday 2025,SMS,2022-05-05,1,0
MKT800268,C100066,Loyalty Rewards Q2 2026,Email,2024-09-04,1,0
MKT800269,C100066,Diwali Offer 2025,Search Ad,2023-06-24,1,0
MKT800270,C100066,Loyalty Rewards Q2 2026,SMS,2025-11-05,1,1
MKT800271,C100066,Loyalty Rewards Q2 2026,Push Notification,2021-01-24,0,0
MKT800272,C100066,Black Friday 2025,Email,2025-04-14,1,0
MKT800273,C100066,New Year 2026,SMS,2026-03-17,0,1
MKT800274,C100067,Flash Sale July 2026,Social Media Ad,2024-08-05,1,0
MKT800275,C100067,Black Friday 2025,Push Notification,2023-07-28,1,0
MKT800276,C100067,Spring Refresh 2026,Push Notification,2025-08-18,1,0
MKT800277,C100067,Black Friday 2025,Social Media Ad,2026-07-05,0,0
MKT800278,C100068,New Year 2026,Push Notification,2023-07-07,1,0
MKT800279,C100068,Black Friday 2025,Search Ad,2022-03-03,0,0
MKT800280,C100069,Diwali Offer 2025,SMS,2026-03-01,0,0
MKT800281,C100069,Diwali Offer 2025,Social Media Ad,2024-06-04,1,0
MKT800282,C100070,Loyalty Rewards Q2 2026,SMS,2021-10-02,0,0
MKT800283,C100071,Loyalty Rewards Q2 2026,Social Media Ad,2024-10-29,0,0
MKT800284,C100071,Loyalty Rewards Q2 2026,SMS,2024-06-10,1,0
MKT800285,C100071,Diwali Offer 2025,Email,2026-05-11,1,0
MKT800286,C100071,Flash Sale July 2026,Social Media Ad,2025-04-23,0,0
MKT800287,C100071,Loyalty Rewards Q2 2026,SMS,2024-06-28,1,0
MKT800288,C100071,New Year 2026,SMS,2023-05-28,1,0
MKT800289,C100071,New Year 2026,Search Ad,2021-02-15,1,0
MKT800290,C100072,Loyalty Rewards Q2 2026,Push Notification,2026-06-04,1,0
MKT800291,C100072,Flash Sale July 2026,Email,2025-01-11,1,0
MKT800292,C100072,Spring Refresh 2026,Email,2026-06-17,1,0
MKT800293,C100072,Spring Refresh 2026,Email,2021-12-20,0,0
MKT800294,C100072,Summer Sale 2025,SMS,2024-09-29,1,0
MKT800295,C100072,Summer Sale 2025,SMS,2024-12-24,1,0
MKT800296,C100073,Diwali Offer 2025,Email,2025-06-07,1,0
MKT800297,C100073,New Year 2026,Search Ad,2025-12-19,0,1
MKT800298,C100074,Loyalty Rewards Q2 2026,Email,2022-04-01,1,0
MKT800299,C100074,Loyalty Rewards Q2 2026,Social Media Ad,2025-02-13,0,0
MKT800300,C100074,Flash Sale July 2026,Push Notification,2023-12-08,0,0
MKT800301,C100075,Loyalty Rewards Q2 2026,Social Media Ad,2024-07-28,1,0
MKT800302,C100075,Spring Refresh 2026,Search Ad,2021-02-09,0,0
MKT800303,C100075,Black Friday 2025,SMS,2024-07-14,1,1
MKT800304,C100075,Diwali Offer 2025,SMS,2022-01-20,1,1
MKT800305,C100075,Black Friday 2025,Push Notification,2026-06-24,1,0
MKT800306,C100075,Spring Refresh 2026,SMS,2024-06-05,0,0
MKT800307,C100076,Loyalty Rewards Q2 2026,Push Notification,2021-04-02,1,0
MKT800308,C100076,Black Friday 2025,Push Notification,2024-08-11,1,0
MKT800309,C100077,Loyalty Rewards Q2 2026,Push Notification,2024-08-04,0,0
MKT800310,C100077,Spring Refresh 2026,Social Media Ad,2022-09-17,0,0
MKT800311,C100077,Loyalty Rewards Q2 2026,Email,2022-01-28,1,0
MKT800312,C100077,Spring Refresh 2026,Social Media Ad,2023-08-29,0,0
MKT800313,C100078,Black Friday 2025,Social Media Ad,2023-12-22,1,1
MKT800314,C100078,Summer Sale 2025,Social Media Ad,2024-11-04,1,0
MKT800315,C100078,Flash Sale July 2026,SMS,2023-06-08,1,0
MKT800316,C100078,Flash Sale July 2026,Email,2022-12-19,1,0
MKT800317,C100078,Loyalty Rewards Q2 2026,SMS,2022-02-08,1,0
MKT800318,C100078,New Year 2026,Push Notification,2021-06-13,1,0
MKT800319,C100078,Flash Sale July 2026,Email,2022-12-21,1,0
MKT800320,C100078,Flash Sale July 2026,Push Notification,2023-01-23,1,1
MKT800321,C100079,Spring Refresh 2026,Email,2023-05-31,0,1
MKT800322,C100079,Spring Refresh 2026,Search Ad,2024-02-29,1,0
MKT800323,C100080,Black Friday 2025,Search Ad,2023-02-16,0,0
MKT800324,C100080,Diwali Offer 2025,SMS,2021-01-25,1,0
MKT800325,C100080,Diwali Offer 2025,Push Notification,2021-12-08,1,0
MKT800326,C100081,Loyalty Rewards Q2 2026,SMS,2025-10-30,1,0
MKT800327,C100081,Summer Sale 2025,SMS,2025-05-03,0,1
MKT800328,C100081,New Year 2026,Search Ad,2025-10-07,0,0
MKT800329,C100081,Diwali Offer 2025,Push Notification,2026-01-17,1,0
MKT800330,C100082,Flash Sale July 2026,Social Media Ad,2022-08-08,1,0
MKT800331,C100082,Loyalty Rewards Q2 2026,Search Ad,2023-04-12,0,0
MKT800332,C100082,Spring Refresh 2026,Search Ad,2022-04-15,1,1
MKT800333,C100082,Spring Refresh 2026,Push Notification,2022-08-23,0,0
MKT800334,C100082,Black Friday 2025,Email,2022-06-08,1,0
MKT800335,C100083,Loyalty Rewards Q2 2026,Social Media Ad,2025-08-21,1,0
MKT800336,C100083,Loyalty Rewards Q2 2026,SMS,2022-02-28,1,1
MKT800337,C100083,Summer Sale 2025,Search Ad,2024-02-17,1,1
MKT800338,C100083,Flash Sale July 2026,Search Ad,2025-02-06,1,0
MKT800339,C100083,Summer Sale 2025,Email,2022-04-18,1,0
MKT800340,C100083,Loyalty Rewards Q2 2026,Search Ad,2022-08-09,0,0
MKT800341,C100084,New Year 2026,Social Media Ad,2023-08-18,0,0
MKT800342,C100084,Summer Sale 2025,Email,2022-08-03,0,0
MKT800343,C100085,Spring Refresh 2026,Push Notification,2022-07-07,1,0
MKT800344,C100085,Loyalty Rewards Q2 2026,Push Notification,2023-09-17,1,0
MKT800345,C100085,Summer Sale 2025,Email,2022-09-23,0,0
MKT800346,C100085,Loyalty Rewards Q2 2026,Email,2026-02-05,0,0
MKT800347,C100085,Loyalty Rewards Q2 2026,Push Notification,2024-01-13,0,0
MKT800348,C100085,Spring Refresh 2026,Email,2023-06-10,1,1
MKT800349,C100085,Loyalty Rewards Q2 2026,SMS,2022-09-09,1,0
MKT800350,C100085,Flash Sale July 2026,Social Media Ad,2026-06-26,0,0
MKT800351,C100086,Summer Sale 2025,SMS,2024-11-02,1,0
MKT800352,C100087,Diwali Offer 2025,Email,2026-07-27,1,1
MKT800353,C100087,Summer Sale 2025,Email,2021-06-23,0,0
MKT800354,C100087,New Year 2026,Push Notification,2025-11-14,1,0
MKT800355,C100088,Spring Refresh 2026,Social Media Ad,2024-06-20,1,1
MKT800356,C100088,Diwali Offer 2025,Search Ad,2024-03-11,0,0
MKT800357,C100089,Summer Sale 2025,Social Media Ad,2026-01-12,0,0
MKT800358,C100089,Summer Sale 2025,Email,2023-04-16,1,0
MKT800359,C100089,Spring Refresh 2026,Email,2024-06-28,0,0
MKT800360,C100089,Black Friday 2025,Social Media Ad,2025-10-22,1,1
MKT800361,C100089,Diwali Offer 2025,Search Ad,2026-06-02,1,0
MKT800362,C100089,Spring Refresh 2026,SMS,2021-03-22,0,0
MKT800363,C100090,Diwali Offer 2025,Search Ad,2026-06-22,1,0
MKT800364,C100090,Flash Sale July 2026,Email,2023-06-18,1,1
MKT800365,C100090,Diwali Offer 2025,SMS,2021-03-22,0,0
MKT800366,C100090,Summer Sale 2025,Email,2025-09-22,0,1
MKT800367,C100090,New Year 2026,Email,2022-10-25,0,0
MKT800368,C100090,Summer Sale 2025,Search Ad,2023-08-13,1,0
MKT800369,C100091,Black Friday 2025,Email,2025-01-28,1,1
MKT800370,C100093,Spring Refresh 2026,Search Ad,2026-04-08,1,0
MKT800371,C100093,Loyalty Rewards Q2 2026,Search Ad,2026-06-16,1,0
