ticket_id,customer_id,ticket_date,ticket_type,resolution_time_hours,csat_score,escalated
TKT700142,C100114,2026-08-03,Return Request,8.4,5,1
TKT700143,C100117,2025-04-08,Billing Issue,37.2,1,0
TKT700144,C100118,2025-05-15,Delivery Delay,7.7,2,0
TKT700145,C100119,2024-09-22,Technical Support,29.7,2,1
TKT700146,C100120,2023-08-04,Refund Request,2.2,2,0
TKT700147,C100122,2022-10-07,Account Access,63.4,1,1
TKT700148,C100122,2023-12-14,Delivery Delay,45.5,1,0
TKT700149,C100122,2025-01-31,Billing Issue,40.0,1,1
TKT700150,C100123,2026-08-07,Delivery Delay,24.9,4,0
TKT700151,C100125,2026-06-25,Refund Request,9.4,1,1
TKT700152,C100126,2024-07-19,Billing Issue,15.6,3,0
TKT700153,C100126,2023-03-27,Account Access,16.1,1,0
TKT700154,C100127,2022-09-25,Return Request,7.4,2,0
TKT700155,C100127,2024-06-05,General Inquiry,18.2,2,0
TKT700156,C100128,2026-07-09,Refund Request,9.5,3,0
TKT700157,C100128,2026-08-05,Delivery Delay,9.8,3,0
TKT700158,C100130,2025-11-13,Product Defect,30.9,1,1
TKT700159,C100131,2026-06-24,General Inquiry,5.1,3,0
TKT700160,C100131,2026-04-09,Return Request,2.2,5,0
TKT700161,C100133,2026-01-13,Product Defect,3.8,2,0
TKT700162,C100133,2024-11-01,General Inquiry,19.0,1,0
TKT700163,C100135,2024-11-06,Return Request,12.7,2,0
TKT700164,C100135,2025-01-01,Delivery Delay,17.1,3,0
TKT700165,C100136,2026-02-10,Account Access,18.8,3,0
TKT700166,C100137,2026-03-05,Technical Support,6.6,1,0
TKT700167,C100137,2025-05-26,Refund Request,2.8,3,0
TKT700168,C100141,2024-10-24,Technical Support,6.4,1,0
TKT700169,C100142,2026-06-04,Technical Support,10.7,4,0
TKT700170,C100142,2026-04-14,Delivery Delay,5.3,2,1
TKT700171,C100142,2024-12-01,Billing Issue,8.5,3,0
TKT700172,C100142,2025-05-23,Technical Support,22.7,4,0
TKT700173,C100143,2026-08-12,Return Request,23.5,4,0
TKT700174,C100143,2026-08-11,Billing Issue,13.3,2,0
TKT700175,C100144,2026-02-22,Billing Issue,11.8,2,0
TKT700176,C100146,2026-01-16,Product Defect,6.6,1,0
TKT700177,C100146,2026-03-31,General Inquiry,13.7,1,0
TKT700178,C100147,2025-02-06,General Inquiry,16.9,2,0
TKT700179,C100148,2024-08-13,Technical Support,21.1,2,0
TKT700180,C100148,2026-04-20,Account Access,4.9,1,0
TKT700181,C100148,2025-09-24,Account Access,6.2,3,0
TKT700182,C100149,2026-03-26,Delivery Delay,7.9,5,0
TKT700183,C100150,2026-05-28,Technical Support,11.1,2,0
TKT700184,C100150,2025-09-23,Billing Issue,41.1,4,0
TKT700185,C100152,2025-12-21,General Inquiry,11.8,5,1
TKT700186,C100152,2026-02-16,Billing Issue,7.0,4,0
TKT700187,C100153,2026-06-30,Delivery Delay,6.5,3,0
TKT700188,C100154,2026-01-16,Refund Request,20.5,4,0
TKT700189,C100155,2026-01-22,Account Access,22.5,5,0
TKT700190,C100157,2021-07-21,Product Defect,38.3,3,0
TKT700191,C100157,2022-12-16,Technical Support,11.9,2,0
TKT700192,C100158,2026-03-29,Refund Request,14.1,2,0
TKT700193,C100159,2026-01-12,Billing Issue,8.2,1,0
TKT700194,C100160,2025-12-18,Product Defect,9.9,3,0
TKT700195,C100161,2026-07-04,Refund Request,25.3,1,1
TKT700196,C100161,2024-10-31,Delivery Delay,16.1,1,0
TKT700197,C100162,2025-01-01,Product Defect,1.2,1,0
TKT700198,C100162,2026-01-01,General Inquiry,11.3,4,0
TKT700199,C100162,2025-06-16,Technical Support,28.2,2,0
TKT700200,C100163,2025-08-10,Billing Issue,52.2,2,0
TKT700201,C100163,2024-01-03,Technical Support,19.2,1,0
TKT700202,C100164,2026-04-21,Technical Support,55.7,2,0
TKT700203,C100165,2026-07-03,Technical Support,43.9,1,1
TKT700204,C100167,2023-12-13,Return Request,5.7,4,0
TKT700205,C100169,2024-03-23,Return Request,11.1,3,0
TKT700206,C100170,2023-04-18,Delivery Delay,6.5,3,0
TKT700207,C100171,2025-05-15,Account Access,162.6,1,0
TKT700208,C100171,2025-05-09,General Inquiry,8.6,1,0
TKT700209,C100171,2026-06-21,Billing Issue,12.7,1,0
TKT700210,C100171,2025-05-28,General Inquiry,33.2,2,0
TKT700211,C100171,2026-06-08,Product Defect,11.4,2,0
TKT700212,C100171,2024-07-06,Delivery Delay,10.8,1,0
TKT700213,C100172,2026-05-21,Account Access,10.0,3,0
TKT700214,C100172,2026-05-08,Return Request,33.7,4,1
TKT700215,C100173,2026-07-08,Return Request,22.8,1,1
TKT700216,C100174,2026-02-20,Technical Support,3.5,3,0
TKT700217,C100175,2025-12-21,Account Access,9.5,1,0
TKT700218,C100177,2026-06-23,Refund Request,18.5,1,0
TKT700219,C100177,2025-12-12,General Inquiry,27.3,2,1
TKT700220,C100177,2025-04-22,Billing Issue,2.1,1,0
TKT700221,C100178,2024-12-20,Account Access,5.6,4,0
TKT700222,C100180,2026-07-26,Billing Issue,16.5,2,1
TKT700223,C100182,2026-01-21,Billing Issue,12.9,2,0
TKT700224,C100182,2026-05-12,Refund Request,7.6,1,0
TKT700225,C100182,2025-12-27,Refund Request,12.6,1,0
TKT700226,C100182,2025-10-21,Account Access,50.8,1,0
TKT700227,C100184,2026-07-22,Return Request,10.6,3,1
TKT700228,C100185,2025-03-19,Product Defect,14.8,3,0
TKT700229,C100186,2023-05-12,Product Defect,13.1,5,0
TKT700230,C100187,2026-01-29,Delivery Delay,19.5,1,1
TKT700231,C100187,2026-01-15,General Inquiry,6.6,2,0
TKT700232,C100187,2026-08-04,Technical Support,29.0,3,0
TKT700233,C100187,2026-07-28,Account Access,23.9,1,0
TKT700234,C100187,2026-01-04,General Inquiry,9.5,1,0
TKT700235,C100188,2026-04-22,Billing Issue,20.0,1,0
TKT700236,C100188,2025-09-27,Billing Issue,16.1,2,0
TKT700237,C100188,2025-11-21,Billing Issue,18.2,1,1
TKT700238,C100188,2026-07-09,Technical Support,1.8,2,1
TKT700239,C100190,2026-04-13,Technical Support,2.0,5,0
TKT700240,C100193,2026-03-18,Technical Support,24.8,2,0
TKT700241,C100193,2026-07-27,Product Defect,28.4,2,0
TKT700242,C100194,2026-06-03,Refund Request,8.9,2,0
TKT700243,C100195,2022-08-17,Refund Request,7.2,1,0
TKT700244,C100195,2023-03-16,Technical Support,7.7,3,0
TKT700245,C100195,2026-03-09,Delivery Delay,18.4,1,0
TKT700246,C100196,2026-07-29,Billing Issue,19.3,2,0
TKT700247,C100196,2026-03-31,Technical Support,4.4,1,0
TKT700248,C100197,2024-08-13,Billing Issue,11.3,3,0
TKT700249,C100198,2024-12-08,Delivery Delay,3.5,1,0
TKT700250,C100199,2023-07-11,Billing Issue,23.7,4,0
TKT700251,C100199,2021-10-15,Billing Issue,4.9,3,0
TKT700252,C100202,2025-09-03,General Inquiry,13.8,2,0
TKT700253,C100202,2025-02-23,Account Access,5.9,2,0
TKT700254,C100203,2026-01-14,Return Request,11.0,3,0
TKT700255,C100203,2025-04-04,Refund Request,16.1,3,0
TKT700256,C100204,2025-08-03,Account Access,8.4,2,0
TKT700257,C100205,2025-04-27,Refund Request,0.7,1,0
TKT700258,C100205,2025-02-13,General Inquiry,1.8,3,0
TKT700259,C100205,2026-07-15,Delivery Delay,10.7,1,0
TKT700260,C100205,2024-09-18,Product Defect,13.8,1,0
TKT700261,C100205,2026-03-22,Refund Request,12.0,1,0
TKT700262,C100205,2026-03-07,Technical Support,1.9,3,1
TKT700263,C100206,2026-01-21,Account Access,29.4,1,1
TKT700264,C100206,2026-02-22,General Inquiry,23.9,1,1
TKT700265,C100206,2025-11-09,Technical Support,7.3,1,0
TKT700266,C100206,2026-05-06,Account Access,24.3,1,0
TKT700267,C100207,2022-11-06,Delivery Delay,4.0,3,0
TKT700268,C100208,2026-06-30,General Inquiry,16.6,1,0
TKT700269,C100211,2022-10-19,Account Access,3.3,3,0
TKT700270,C100211,2024-11-05,General Inquiry,4.6,3,0
TKT700271,C100212,2026-01-06,Billing Issue,8.4,3,1
TKT700272,C100213,2026-03-24,Technical Support,14.2,2,0
TKT700273,C100214,2026-06-29,General Inquiry,8.5,3,0
TKT700274,C100216,2025-10-17,General Inquiry,15.6,3,0
TKT700275,C100217,2026-04-22,Return Request,23.7,2,1
TKT700276,C100217,2026-01-12,Delivery Delay,10.4,2,0
TKT700277,C100218,2025-06-06,Return Request,24.7,1,0
TKT700278,C100219,2026-01-05,General Inquiry,17.6,2,0
TKT700279,C100220,2025-07-31,Technical Support,3.0,3,0
TKT700280,C100222,2024-03-07,Delivery Delay,4.3,1,0
TKT700281,C100222,2025-06-23,Account Access,6.6,2,0
TKT700282,C100224,2024-03-11,Return Request,1.1,1,0
TKT700283,C100224,2022-12-08,Technical Support,9.8,1,0
TKT700284,C100225,2026-07-15,General Inquiry,18.0,3,0
TKT700285,C100226,2023-12-26,Product Defect,22.2,2,1
TKT700286,C100226,2022-08-07,Technical Support,15.2,2,0
TKT700287,C100227,2022-11-21,General Inquiry,47.4,2,0
TKT700288,C100229,2023-03-03,Billing Issue,5.0,2,0
TKT700289,C100230,2025-07-01,Return Request,21.0,2,0
TKT700290,C100230,2025-04-12,Billing Issue,4.9,1,1
TKT700291,C100231,2025-09-10,Delivery Delay,7.5,3,0
TKT700292,C100235,2025-05-29,Delivery Delay,40.1,4,0
TKT700293,C100235,2026-04-05,Return Request,2.5,2,0
TKT700294,C100235,2024-03-15,Billing Issue,12.9,3,1
TKT700295,C100236,2025-12-08,General Inquiry,5.4,1,0
TKT700296,C100236,2025-11-08,General Inquiry,12.3,1,0
TKT700297,C100236,2025-08-29,Return Request,14.3,1,0
TKT700298,C100238,2026-07-22,Delivery Delay,31.7,1,0
TKT700299,C100238,2023-02-15,Account Access,27.0,1,0
TKT700300,C100240,2023-10-22,Technical Support,15.8,1,1
TKT700301,C100242,2026-01-17,Account Access,27.0,1,0
TKT700302,C100242,2025-05-19,Billing Issue,9.6,1,1
TKT700303,C100244,2024-02-02,Account Access,6.6,2,0
TKT700304,C100245,2025-12-04,Return Request,13.7,1,1
TKT700305,C100248,2026-06-30,Technical Support,22.4,2,0
TKT700306,C100249,2024-06-03,Product Defect,5.8,1,0
TKT700307,C100249,2025-02-06,Billing Issue,38.8,1,0
TKT700308,C100252,2024-02-04,Product Defect,5.4,3,1
TKT700309,C100252,2023-11-15,Billing Issue,12.7,4,0
TKT700310,C100254,2026-04-04,Delivery Delay,29.3,1,0
TKT700311,C100254,2024-01-10,Refund Request,52.4,2,1
TKT700312,C100254,2025-04-14,Refund Request,15.9,1,0
TKT700313,C100254,2025-08-17,Account Access,44.0,1,1
TKT700314,C100255,2026-06-18,Billing Issue,17.8,1,0
TKT700315,C100256,2025-09-30,Billing Issue,2.9,2,0
TKT700316,C100258,2026-07-30,Product Defect,9.2,4,0
TKT700317,C100259,2025-12-12,Product Defect,18.1,3,0
TKT700318,C100259,2026-05-17,Technical Support,15.3,2,0
TKT700319,C100259,2026-03-30,Billing Issue,19.1,2,0
TKT700320,C100262,2026-01-20,Billing Issue,1.0,4,0
TKT700321,C100263,2026-07-22,Billing Issue,28.9,3,0
TKT700322,C100264,2026-02-13,Refund Request,7.1,3,1
TKT700323,C100265,2025-03-21,Delivery Delay,14.1,3,0
TKT700324,C100266,2025-02-26,Refund Request,13.8,3,1
TKT700325,C100268,2026-08-10,General Inquiry,24.2,3,0
TKT700326,C100268,2026-08-12,Delivery Delay,21.5,3,1
TKT700327,C100269,2024-12-13,Product Defect,9.9,4,0
TKT700328,C100272,2023-02-20,Delivery Delay,14.9,4,0
TKT700329,C100273,2025-09-19,Delivery Delay,6.0,2,0
TKT700330,C100274,2025-08-20,Technical Support,1.3,1,0
TKT700331,C100274,2023-03-20,General Inquiry,19.7,4,0
TKT700332,C100274,2024-04-18,Refund Request,17.9,1,0
TKT700333,C100275,2025-01-05,Product Defect,19.2,2,1
TKT700334,C100275,2025-04-24,Refund Request,11.9,2,0
TKT700335,C100276,2025-07-30,General Inquiry,15.2,4,0
TKT700336,C100279,2022-11-21,Account Access,29.0,1,0
TKT700337,C100280,2022-09-17,Product Defect,62.3,3,0
TKT700338,C100281,2025-04-18,Billing Issue,20.0,2,0
TKT700339,C100281,2025-11-21,Technical Support,11.2,1,0
TKT700340,C100281,2025-03-06,Return Request,5.0,1,0
TKT700341,C100282,2025-06-21,Account Access,4.3,2,0
TKT700342,C100284,2026-07-22,Return Request,12.1,1,0
TKT700343,C100284,2025-11-03,Account Access,52.8,1,0
TKT700344,C100284,2025-08-12,General Inquiry,7.4,1,0
TKT700345,C100284,2026-01-16,Billing Issue,18.2,1,1
TKT700346,C100284,2025-09-01,Return Request,27.0,1,0
TKT700347,C100285,2025-05-28,Refund Request,16.7,1,0
TKT700348,C100286,2026-07-24,Billing Issue,14.0,4,0
TKT700349,C100287,2022-12-15,Account Access,32.5,2,0
TKT700350,C100287,2026-06-14,Technical Support,18.6,2,0
TKT700351,C100288,2025-03-23,Refund Request,1.3,1,0
TKT700352,C100288,2025-11-30,Billing Issue,6.0,1,0
TKT700353,C100288,2026-02-09,Product Defect,8.9,2,0
TKT700354,C100289,2023-02-08,Delivery Delay,4.0,4,0
TKT700355,C100291,2024-09-03,Return Request,7.1,5,0
TKT700356,C100292,2022-10-23,General Inquiry,20.6,1,0
TKT700357,C100292,2022-02-28,Account Access,5.5,4,0
TKT700358,C100293,2026-07-31,Account Access,17.5,1,0
TKT700359,C100293,2025-12-23,Product Defect,15.2,1,0
TKT700360,C100294,2024-08-29,Refund Request,5.4,3,0
TKT700361,C100294,2025-06-03,Billing Issue,26.7,3,0
TKT700362,C100294,2023-11-05,General Inquiry,11.0,3,0
TKT700363,C100294,2024-02-12,Account Access,11.9,3,1
TKT700364,C100294,2023-10-27,General Inquiry,27.0,3,0
TKT700365,C100295,2025-08-26,Return Request,43.8,1,1
TKT700366,C100295,2024-09-20,Return Request,13.9,1,0
TKT700367,C100295,2026-01-24,Account Access,13.6,1,0
TKT700368,C100296,2025-04-01,Delivery Delay,3.3,1,0
TKT700369,C100300,2025-04-20,General Inquiry,6.4,2,0
TKT700370,C100300,2023-01-05,Account Access,6.2,3,1
TKT700371,C100300,2026-01-06,Billing Issue,12.6,2,0
TKT700372,C100300,2022-10-10,Return Request,18.0,2,0
TKT700373,C100302,2026-04-08,Refund Request,20.3,1,0
TKT700374,C100302,2026-08-06,Refund Request,16.3,2,0
TKT700375,C100303,2024-10-22,Return Request,8.8,1,0
TKT700376,C100304,2026-06-04,Refund Request,3.7,2,0
TKT700377,C100304,2025-12-20,Refund Request,45.8,2,0
TKT700378,C100304,2026-04-08,General Inquiry,9.1,1,1
TKT700379,C100306,2025-12-15,General Inquiry,3.5,4,0
TKT700380,C100306,2025-07-12,Account Access,20.8,1,0
TKT700381,C100306,2024-08-11,General Inquiry,28.4,2,0
TKT700382,C100308,2024-12-04,Delivery Delay,4.7,1,0
TKT700383,C100308,2022-03-30,Product Defect,4.0,2,1
TKT700384,C100309,2026-03-11,Refund Request,8.3,2,0
TKT700385,C100310,2026-08-02,Account Access,14.3,2,0
TKT700386,C100310,2026-07-31,Billing Issue,31.0,1,0
TKT700387,C100311,2023-12-29,Return Request,25.7,3,1
TKT700388,C100311,2022-08-16,Refund Request,47.4,2,0
TKT700389,C100315,2024-04-02,Account Access,18.1,2,0
TKT700390,C100315,2025-04-11,Billing Issue,25.2,1,1
TKT700391,C100315,2026-03-31,Delivery Delay,6.5,1,0
TKT700392,C100315,2026-07-13,Return Request,27.1,3,0
TKT700393,C100316,2026-01-15,Refund Request,33.5,1,0
TKT700394,C100317,2026-02-01,Delivery Delay,62.7,2,0
TKT700395,C100317,2025-05-11,Refund Request,22.4,1,0
TKT700396,C100318,2024-11-29,Account Access,3.9,3,0
TKT700397,C100318,2024-11-19,Technical Support,8.9,2,1
TKT700398,C100319,2023-08-18,Return Request,10.3,1,0
TKT700399,C100319,2021-11-03,Technical Support,16.4,1,0
TKT700400,C100321,2026-07-04,Delivery Delay,3.3,2,1
TKT700401,C100323,2026-04-20,Technical Support,13.4,1,0
TKT700402,C100323,2026-06-17,Technical Support,34.0,1,0
TKT700403,C100323,2026-01-17,Delivery Delay,8.8,3,0
TKT700404,C100324,2024-02-12,Technical Support,10.8,3,0
TKT700405,C100325,2026-02-14,Account Access,12.6,1,0
TKT700406,C100326,2026-06-23,Product Defect,35.9,1,0
TKT700407,C100328,2026-06-20,Account Access,15.4,1,0
TKT700408,C100328,2025-03-26,Product Defect,11.2,2,1
TKT700409,C100328,2025-07-01,Delivery Delay,44.7,1,0
TKT700410,C100330,2025-02-28,Product Defect,4.1,5,0
TKT700411,C100331,2026-07-27,General Inquiry,8.5,2,0
TKT700412,C100331,2025-11-12,Technical Support,9.2,1,1
TKT700413,C100332,2026-04-23,Return Request,6.6,4,0
TKT700414,C100333,2024-10-07,Refund Request,4.0,2,0
TKT700415,C100333,2024-05-03,Account Access,14.5,2,0
TKT700416,C100337,2026-02-13,Refund Request,14.6,5,0
TKT700417,C100338,2024-05-24,Delivery Delay,13.2,3,0
TKT700418,C100340,2022-06-10,Return Request,13.9,2,0
TKT700419,C100340,2023-06-10,Product Defect,7.0,2,0
TKT700420,C100341,2024-07-22,General Inquiry,0.6,4,0
TKT700421,C100344,2022-07-11,Account Access,9.9,3,0
TKT700422,C100344,2023-04-02,Technical Support,6.2,1,1
TKT700423,C100344,2024-10-19,General Inquiry,11.2,1,0
TKT700424,C100344,2023-09-16,Refund Request,51.2,1,0
TKT700425,C100345,2025-03-09,Account Access,16.4,1,0
TKT700426,C100345,2025-01-09,Refund Request,10.2,1,1
TKT700427,C100345,2025-07-27,Delivery Delay,15.2,2,0
TKT700428,C100346,2026-01-12,Return Request,17.6,1,0
TKT700429,C100346,2025-10-15,Billing Issue,22.7,1,0
TKT700430,C100347,2025-09-22,Product Defect,14.1,4,0
TKT700431,C100347,2024-07-01,Product Defect,9.7,1,0
TKT700432,C100348,2026-01-05,Account Access,5.3,3,0
TKT700433,C100349,2025-08-15,Technical Support,30.5,1,0
TKT700434,C100349,2025-10-08,Account Access,16.2,1,0
TKT700435,C100350,2024-05-09,Delivery Delay,13.5,2,1
TKT700436,C100350,2025-08-20,Refund Request,6.7,2,0
TKT700437,C100351,2026-03-07,Technical Support,13.9,3,0
TKT700438,C100351,2022-08-02,Refund Request,8.9,2,0
TKT700439,C100352,2023-04-11,Product Defect,1.6,2,0
TKT700440,C100353,2024-04-29,Technical Support,17.1,3,0
TKT700441,C100353,2025-11-25,Technical Support,8.1,4,0
TKT700442,C100354,2025-02-24,Product Defect,18.5,2,0
TKT700443,C100355,2024-03-13,Billing Issue,3.6,4,0
TKT700444,C100355,2021-06-27,Return Request,9.4,2,0
