session_id,customer_id,session_date,pages_viewed,time_on_site_min,device,added_to_cart,traffic_source
WEB900052,C100003,2022-07-11,9,11.2,Desktop,0,Email
WEB900053,C100003,2025-03-23,9,6.5,Mobile,0,Organic Search
WEB900054,C100003,2024-01-10,10,10.7,Mobile,0,Paid Search
WEB900055,C100003,2025-08-11,13,9.2,Mobile,0,Organic Search
WEB900056,C100003,2024-11-29,7,5.3,Mobile,0,Paid Search
WEB900057,C100003,2023-06-09,8,9.8,Mobile,0,Direct
WEB900058,C100003,2026-03-29,9,7.8,Desktop,0,Organic Search
WEB900059,C100003,2024-08-25,5,9.6,Mobile,0,Paid Search
WEB900060,C100003,2022-11-13,4,5.2,Mobile,0,Organic Search
WEB900061,C100003,2024-04-21,7,8.9,Mobile,0,Organic Search
WEB900062,C100003,2025-09-07,10,12.4,Desktop,1,Organic Search
WEB900063,C100003,2022-05-22,6,7.2,Mobile,0,Direct
WEB900064,C100003,2022-02-23,10,8.2,Desktop,0,Organic Search
WEB900065,C100003,2025-01-08,8,7.5,Mobile,1,Organic Search
WEB900066,C100003,2025-08-06,6,7.9,Mobile,0,Email
WEB900067,C100003,2023-09-16,6,5.9,Desktop,0,Social
WEB900068,C100003,2025-08-25,7,8.7,Mobile,0,Organic Search
WEB900069,C100003,2025-09-16,11,11.2,Tablet,0,Email
WEB900070,C100003,2024-09-04,6,4.4,Desktop,0,Direct
WEB900071,C100003,2023-02-06,8,8.5,Desktop,0,Organic Search
WEB900072,C100003,2025-05-09,8,13.0,Mobile,1,Paid Search
WEB900073,C100003,2023-09-11,5,12.7,Tablet,0,Direct
WEB900074,C100003,2025-11-16,12,10.1,Mobile,0,Organic Search
WEB900075,C100003,2022-10-21,7,9.0,Mobile,0,Organic Search
WEB900076,C100003,2024-04-13,7,9.4,Tablet,0,Organic Search
WEB900077,C100004,2025-11-30,4,4.9,Desktop,0,Organic Search
WEB900078,C100004,2023-07-23,4,8.7,Mobile,0,Organic Search
WEB900079,C100005,2025-10-04,8,7.7,Mobile,0,Direct
WEB900080,C100005,2026-02-07,7,6.5,Desktop,1,Paid Search
WEB900081,C100005,2025-12-31,9,8.1,Mobile,0,Direct
WEB900082,C100005,2026-06-26,3,1.8,Mobile,0,Paid Search
WEB900083,C100005,2025-10-22,7,4.3,Mobile,0,Direct
WEB900084,C100005,2026-08-04,7,5.0,Mobile,0,Email
WEB900085,C100005,2026-02-26,11,7.6,Mobile,0,Direct
WEB900086,C100005,2026-04-21,3,4.2,Mobile,0,Direct
WEB900087,C100005,2025-08-19,9,12.3,Mobile,0,Organic Search
WEB900088,C100006,2023-10-26,5,11.1,Mobile,0,Email
WEB900089,C100006,2022-12-08,7,5.5,Mobile,0,Direct
WEB900090,C100006,2024-07-18,5,5.8,Mobile,0,Email
WEB900091,C100006,2025-03-06,7,6.0,Mobile,0,Organic Search
WEB900092,C100006,2025-03-13,2,7.1,Tablet,0,Organic Search
WEB900093,C100006,2024-09-19,5,5.5,Mobile,0,Social
WEB900094,C100006,2022-05-15,7,5.7,Desktop,0,Organic Search
WEB900095,C100006,2022-03-30,2,5.5,Mobile,0,Direct
WEB900096,C100006,2022-01-06,2,2.9,Mobile,0,Social
WEB900097,C100006,2025-05-24,7,8.2,Mobile,0,Email
WEB900098,C100006,2025-07-15,7,5.7,Mobile,0,Organic Search
WEB900099,C100006,2026-04-15,5,3.4,Mobile,0,Organic Search
WEB900100,C100006,2025-12-18,4,3.9,Tablet,0,Paid Search
WEB900101,C100006,2021-07-21,4,4.5,Mobile,1,Organic Search
WEB900102,C100007,2023-06-15,2,2.2,Mobile,1,Organic Search
WEB900103,C100007,2023-04-10,5,10.6,Mobile,1,Direct
WEB900104,C100007,2026-04-17,4,3.9,Mobile,0,Organic Search
WEB900105,C100007,2024-05-31,4,5.1,Mobile,0,Email
WEB900106,C100007,2024-01-18,9,10.5,Desktop,0,Paid Search
WEB900107,C100007,2025-09-24,8,7.4,Mobile,0,Organic Search
WEB900108,C100007,2023-12-08,8,9.3,Mobile,1,Direct
WEB900109,C100007,2022-10-08,8,11.0,Desktop,1,Organic Search
WEB900110,C100007,2023-11-15,7,6.4,Desktop,0,Direct
WEB900111,C100007,2024-04-24,6,5.1,Desktop,0,Paid Search
WEB900112,C100007,2023-04-29,13,8.2,Mobile,0,Paid Search
WEB900113,C100008,2023-05-03,4,5.5,Desktop,0,Direct
WEB900114,C100008,2024-09-10,7,9.1,Desktop,1,Direct
WEB900115,C100008,2025-07-04,7,5.5,Mobile,0,Paid Search
WEB900116,C100008,2023-07-14,2,5.0,Desktop,0,Direct
WEB900117,C100008,2025-08-08,5,7.8,Mobile,0,Email
WEB900118,C100009,2024-05-06,6,9.3,Desktop,0,Direct
WEB900119,C100009,2026-05-29,3,6.0,Mobile,0,Direct
WEB900120,C100009,2023-07-09,6,5.4,Desktop,0,Paid Search
WEB900121,C100009,2024-02-24,11,8.8,Mobile,0,Organic Search
WEB900122,C100009,2026-07-15,6,3.3,Desktop,0,Social
WEB900123,C100009,2026-04-28,7,8.3,Mobile,0,Organic Search
WEB900124,C100009,2022-04-15,7,7.2,Desktop,1,Paid Search
WEB900125,C100009,2026-07-01,6,4.5,Tablet,0,Social
WEB900126,C100009,2022-07-06,8,6.5,Desktop,0,Social
WEB900127,C100009,2024-04-24,11,7.1,Mobile,0,Organic Search
WEB900128,C100009,2022-07-22,15,13.1,Mobile,0,Social
WEB900129,C100009,2025-03-30,5,5.0,Desktop,0,Direct
WEB900130,C100009,2024-08-02,7,11.4,Mobile,0,Paid Search
WEB900131,C100009,2025-05-21,11,9.3,Desktop,0,Direct
WEB900132,C100009,2023-02-25,11,7.5,Mobile,0,Organic Search
WEB900133,C100009,2022-06-06,10,9.6,Desktop,0,Organic Search
WEB900134,C100009,2025-11-26,12,8.5,Mobile,0,Paid Search
WEB900135,C100009,2024-04-13,6,6.9,Desktop,0,Direct
WEB900136,C100009,2023-11-12,11,9.3,Desktop,0,Social
WEB900137,C100009,2023-10-23,11,9.8,Mobile,0,Organic Search
WEB900138,C100009,2024-12-10,5,4.8,Desktop,0,Email
WEB900139,C100009,2024-06-20,7,15.8,Desktop,0,Social
WEB900140,C100009,2025-12-17,7,4.9,Mobile,0,Direct
WEB900141,C100009,2022-11-14,10,12.6,Mobile,0,Social
WEB900142,C100009,2024-08-30,6,5.0,Mobile,0,Direct
WEB900143,C100009,2024-09-05,8,6.5,Mobile,0,Direct
WEB900144,C100010,2025-11-01,10,6.9,Mobile,0,Organic Search
WEB900145,C100010,2026-01-11,6,8.3,Mobile,0,Paid Search
WEB900146,C100011,2025-05-17,4,5.5,Mobile,0,Social
WEB900147,C100011,2025-12-03,3,3.5,Desktop,1,Paid Search
WEB900148,C100011,2025-11-30,6,12.7,Desktop,0,Paid Search
WEB900149,C100011,2026-01-13,6,8.8,Desktop,0,Organic Search
WEB900150,C100011,2026-07-03,8,8.4,Mobile,1,Direct
WEB900151,C100011,2023-08-22,5,5.9,Mobile,0,Paid Search
WEB900152,C100011,2025-09-07,5,6.2,Mobile,0,Direct
WEB900153,C100011,2023-08-25,6,9.5,Tablet,0,Direct
WEB900154,C100011,2025-10-27,7,8.2,Mobile,0,Paid Search
WEB900155,C100011,2023-04-27,4,4.7,Desktop,0,Organic Search
WEB900156,C100011,2026-03-23,9,7.6,Mobile,0,Paid Search
WEB900157,C100011,2023-08-29,13,9.2,Mobile,0,Paid Search
WEB900158,C100011,2024-02-26,11,8.9,Mobile,0,Direct
WEB900159,C100011,2026-02-02,9,8.1,Mobile,0,Organic Search
WEB900160,C100011,2026-07-01,9,5.5,Mobile,0,Email
WEB900161,C100011,2024-03-24,10,9.6,Mobile,1,Direct
WEB900162,C100011,2025-11-22,8,8.6,Mobile,0,Organic Search
WEB900163,C100011,2023-12-06,5,6.2,Mobile,0,Social
WEB900164,C100011,2025-09-15,10,5.8,Desktop,0,Organic Search
WEB900165,C100011,2024-04-13,6,4.3,Desktop,0,Organic Search
WEB900166,C100012,2025-12-20,6,5.2,Mobile,0,Direct
WEB900167,C100012,2026-01-20,8,7.1,Desktop,0,Direct
WEB900168,C100012,2025-03-22,4,7.6,Mobile,0,Paid Search
WEB900169,C100012,2026-03-27,5,6.0,Mobile,0,Paid Search
WEB900170,C100012,2024-12-06,5,4.8,Desktop,0,Social
WEB900171,C100012,2025-04-24,9,13.0,Mobile,0,Direct
WEB900172,C100012,2025-01-03,8,7.3,Desktop,0,Social
WEB900173,C100012,2025-11-18,3,11.9,Desktop,0,Paid Search
WEB900174,C100012,2026-01-03,3,3.0,Mobile,0,Direct
WEB900175,C100012,2026-02-24,7,4.3,Desktop,0,Organic Search
WEB900176,C100012,2025-06-22,11,12.3,Desktop,0,Organic Search
WEB900177,C100013,2025-08-31,5,7.6,Mobile,0,Email
WEB900178,C100013,2025-07-26,9,7.2,Mobile,0,Direct
WEB900179,C100013,2024-10-21,8,14.4,Tablet,1,Organic Search
WEB900180,C100013,2024-11-28,10,10.2,Desktop,0,Organic Search
WEB900181,C100013,2026-06-04,5,11.4,Mobile,1,Organic Search
WEB900182,C100013,2025-05-05,8,5.9,Mobile,0,Paid Search
WEB900183,C100013,2024-10-01,7,3.8,Desktop,0,Direct
WEB900184,C100013,2026-04-30,8,10.2,Desktop,0,Social
WEB900185,C100013,2025-10-20,8,6.6,Desktop,0,Paid Search
WEB900186,C100013,2024-11-28,7,6.6,Mobile,0,Direct
WEB900187,C100013,2025-01-23,10,9.8,Desktop,0,Direct
WEB900188,C100013,2024-07-23,7,5.6,Desktop,0,Direct
WEB900189,C100013,2025-07-13,6,5.4,Desktop,0,Social
WEB900190,C100013,2024-09-19,6,5.6,Mobile,0,Email
WEB900191,C100013,2025-08-16,8,14.0,Mobile,0,Direct
WEB900192,C100013,2025-09-11,7,4.5,Mobile,0,Direct
WEB900193,C100014,2024-06-17,10,8.2,Desktop,0,Social
WEB900194,C100014,2023-12-05,7,5.0,Mobile,1,Direct
WEB900195,C100014,2026-03-04,6,7.4,Desktop,0,Organic Search
WEB900196,C100014,2023-05-11,9,6.0,Tablet,0,Direct
WEB900197,C100014,2024-01-10,8,7.0,Mobile,1,Organic Search
WEB900198,C100014,2024-02-03,5,8.2,Desktop,0,Organic Search
WEB900199,C100014,2024-12-04,6,3.1,Mobile,0,Social
WEB900200,C100014,2023-09-24,7,5.3,Mobile,0,Paid Search
WEB900201,C100014,2024-05-05,6,5.6,Mobile,1,Social
WEB900202,C100014,2026-01-02,9,12.4,Mobile,0,Paid Search
WEB900203,C100015,2024-02-21,7,7.8,Mobile,0,Paid Search
WEB900204,C100015,2026-07-16,8,5.6,Tablet,0,Direct
WEB900205,C100015,2025-12-20,7,9.8,Mobile,0,Direct
WEB900206,C100015,2025-06-01,13,11.4,Mobile,0,Social
WEB900207,C100015,2024-04-07,9,5.6,Desktop,0,Direct
WEB900208,C100015,2025-10-18,7,4.7,Mobile,0,Direct
WEB900209,C100015,2026-01-12,8,7.0,Mobile,0,Paid Search
WEB900210,C100016,2026-03-24,9,6.0,Desktop,1,Social
WEB900211,C100016,2026-05-20,6,5.4,Mobile,0,Direct
WEB900212,C100016,2026-03-29,9,5.9,Mobile,0,Organic Search
WEB900213,C100016,2026-06-30,13,8.4,Desktop,1,Organic Search
WEB900214,C100016,2026-05-29,8,7.1,Mobile,0,Organic Search
WEB900215,C100016,2026-06-19,8,6.5,Tablet,0,Organic Search
WEB900216,C100016,2026-08-06,8,5.7,Desktop,0,Organic Search
WEB900217,C100016,2026-06-02,13,7.1,Mobile,0,Direct
WEB900218,C100016,2026-06-05,7,10.9,Mobile,1,Direct
WEB900219,C100016,2026-06-29,15,8.0,Tablet,0,Direct
WEB900220,C100016,2026-04-22,11,11.3,Desktop,0,Direct
WEB900221,C100016,2026-04-21,8,8.7,Desktop,0,Organic Search
WEB900222,C100017,2026-03-04,6,7.8,Desktop,0,Direct
WEB900223,C100017,2025-06-19,7,8.9,Mobile,0,Paid Search
WEB900224,C100017,2026-01-23,7,9.1,Desktop,0,Direct
WEB900225,C100017,2026-06-30,8,5.0,Mobile,0,Direct
WEB900226,C100017,2026-03-20,8,6.2,Mobile,0,Direct
WEB900227,C100017,2025-09-22,9,5.5,Mobile,0,Organic Search
WEB900228,C100017,2026-02-26,9,11.6,Desktop,0,Email
WEB900229,C100017,2025-06-11,7,9.3,Mobile,0,Email
WEB900230,C100017,2025-07-11,6,8.6,Desktop,0,Social
WEB900231,C100017,2025-10-10,10,9.4,Mobile,0,Paid Search
WEB900232,C100017,2025-08-09,11,8.4,Mobile,0,Paid Search
WEB900233,C100017,2026-08-11,8,13.0,Desktop,0,Organic Search
WEB900234,C100017,2025-09-13,9,7.4,Desktop,1,Direct
WEB900235,C100017,2025-10-12,6,9.6,Mobile,0,Organic Search
WEB900236,C100017,2026-04-12,16,11.9,Mobile,1,Social
WEB900237,C100017,2026-06-25,11,9.9,Mobile,0,Organic Search
WEB900238,C100017,2025-08-03,14,10.7,Mobile,0,Paid Search
WEB900239,C100017,2026-03-18,11,10.6,Mobile,0,Organic Search
WEB900240,C100017,2025-07-01,5,7.1,Mobile,0,Paid Search
WEB900241,C100017,2025-12-24,5,4.6,Mobile,0,Direct
WEB900242,C100017,2026-02-12,9,8.5,Mobile,0,Email
WEB900243,C100017,2025-07-21,12,7.6,Mobile,1,Organic Search
WEB900244,C100018,2024-05-09,6,6.1,Tablet,0,Direct
WEB900245,C100018,2025-05-17,4,7.3,Mobile,0,Organic Search
WEB900246,C100018,2022-12-03,5,9.7,Mobile,0,Organic Search
WEB900247,C100018,2025-02-12,8,5.4,Mobile,0,Social
WEB900248,C100018,2024-08-24,3,6.8,Mobile,1,Social
WEB900249,C100018,2021-11-20,6,3.8,Mobile,0,Direct
WEB900250,C100018,2022-05-01,6,4.9,Mobile,0,Direct
WEB900251,C100018,2022-10-21,8,8.1,Mobile,0,Organic Search
WEB900252,C100018,2025-10-21,3,4.7,Desktop,0,Social
WEB900253,C100018,2024-10-22,3,4.3,Desktop,1,Organic Search
WEB900254,C100018,2024-07-11,7,7.9,Desktop,0,Paid Search
WEB900255,C100018,2023-03-20,7,11.6,Desktop,0,Email
WEB900256,C100018,2023-03-28,8,9.1,Mobile,1,Organic Search
WEB900257,C100019,2025-07-23,8,8.4,Mobile,0,Direct
WEB900258,C100019,2025-01-21,8,6.2,Mobile,0,Email
WEB900259,C100019,2025-11-26,4,14.1,Desktop,0,Direct
WEB900260,C100019,2026-04-03,4,6.7,Mobile,0,Email
WEB900261,C100019,2025-10-28,5,4.0,Desktop,0,Paid Search
WEB900262,C100019,2026-01-10,9,10.0,Mobile,0,Direct
WEB900263,C100019,2024-05-12,6,6.2,Desktop,0,Organic Search
WEB900264,C100019,2025-04-08,9,16.2,Mobile,0,Organic Search
WEB900265,C100020,2023-09-20,10,5.6,Mobile,0,Organic Search
WEB900266,C100020,2025-01-24,5,4.0,Desktop,0,Direct
WEB900267,C100020,2026-02-05,3,5.0,Mobile,0,Email
WEB900268,C100020,2024-11-10,3,11.8,Tablet,0,Paid Search
WEB900269,C100020,2023-03-19,4,4.6,Desktop,1,Organic Search
WEB900270,C100020,2024-06-28,5,3.4,Mobile,0,Direct
WEB900271,C100020,2024-06-26,5,9.3,Mobile,1,Social
WEB900272,C100020,2024-10-20,9,6.8,Tablet,0,Direct
WEB900273,C100020,2024-01-23,7,10.4,Desktop,0,Paid Search
WEB900274,C100021,2024-08-03,9,6.5,Mobile,0,Paid Search
WEB900275,C100021,2024-08-29,4,12.1,Tablet,0,Paid Search
WEB900276,C100021,2025-08-16,8,10.2,Mobile,0,Organic Search
WEB900277,C100021,2025-10-16,7,14.7,Mobile,0,Paid Search
WEB900278,C100021,2025-08-29,6,4.5,Mobile,0,Direct
WEB900279,C100021,2024-05-14,7,4.0,Desktop,0,Paid Search
WEB900280,C100021,2026-04-27,6,5.7,Desktop,0,Organic Search
WEB900281,C100021,2024-04-17,6,7.5,Desktop,1,Paid Search
WEB900282,C100021,2024-09-08,5,6.6,Mobile,0,Direct
WEB900283,C100021,2025-06-25,8,7.0,Tablet,0,Social
WEB900284,C100021,2025-03-08,6,7.2,Mobile,1,Organic Search
WEB900285,C100021,2025-03-04,11,19.5,Mobile,0,Direct
WEB900286,C100021,2026-06-29,4,3.9,Desktop,0,Direct
WEB900287,C100021,2026-01-31,9,8.8,Desktop,0,Organic Search
WEB900288,C100021,2025-02-11,8,5.7,Mobile,0,Organic Search
WEB900289,C100021,2025-08-20,4,8.8,Desktop,0,Organic Search
WEB900290,C100021,2026-05-15,8,5.6,Mobile,0,Paid Search
WEB900291,C100021,2024-11-10,11,7.0,Mobile,0,Direct
WEB900292,C100021,2025-01-16,9,10.4,Tablet,1,Social
WEB900293,C100021,2026-03-11,10,7.3,Desktop,0,Direct
WEB900294,C100021,2026-02-07,7,11.4,Mobile,0,Direct
WEB900295,C100021,2025-01-22,10,10.2,Mobile,1,Social
WEB900296,C100022,2023-11-01,7,10.0,Desktop,1,Email
WEB900297,C100022,2024-04-27,5,4.1,Desktop,0,Organic Search
WEB900298,C100022,2025-01-22,8,9.1,Desktop,1,Organic Search
WEB900299,C100022,2025-08-12,4,9.3,Mobile,0,Paid Search
WEB900300,C100022,2024-07-26,5,6.0,Desktop,0,Paid Search
WEB900301,C100023,2025-06-16,7,5.5,Desktop,0,Paid Search
WEB900302,C100023,2024-02-28,14,9.2,Mobile,0,Organic Search
WEB900303,C100023,2025-04-02,6,6.1,Mobile,1,Direct
WEB900304,C100023,2025-11-28,10,6.5,Desktop,0,Email
WEB900305,C100023,2026-04-23,15,13.5,Mobile,0,Paid Search
WEB900306,C100023,2025-05-07,8,10.2,Mobile,0,Organic Search
WEB900307,C100023,2026-06-06,6,9.9,Desktop,0,Direct
WEB900308,C100023,2024-01-12,4,3.3,Desktop,0,Social
WEB900309,C100023,2025-04-18,7,4.9,Mobile,0,Organic Search
WEB900310,C100023,2025-03-09,6,8.7,Tablet,0,Direct
WEB900311,C100023,2024-04-02,6,4.0,Mobile,1,Organic Search
WEB900312,C100023,2026-03-11,8,6.5,Mobile,0,Paid Search
WEB900313,C100023,2024-05-07,10,7.4,Mobile,0,Direct
WEB900314,C100023,2024-10-17,11,12.7,Mobile,0,Social
WEB900315,C100023,2025-10-25,10,13.4,Mobile,0,Paid Search
WEB900316,C100023,2025-04-25,12,8.4,Mobile,0,Organic Search
WEB900317,C100023,2026-02-28,7,6.3,Mobile,1,Direct
WEB900318,C100023,2024-12-14,8,6.2,Mobile,0,Social
WEB900319,C100024,2024-01-17,8,8.3,Mobile,0,Email
WEB900320,C100024,2022-11-28,8,9.3,Tablet,0,Social
WEB900321,C100024,2026-07-16,3,4.5,Mobile,0,Organic Search
WEB900322,C100024,2024-08-13,7,4.6,Desktop,1,Direct
WEB900323,C100024,2026-07-12,2,1.3,Mobile,0,Email
WEB900324,C100024,2024-04-19,6,3.8,Desktop,1,Social
WEB900325,C100024,2024-01-19,13,7.5,Mobile,0,Organic Search
WEB900326,C100024,2023-05-04,6,7.2,Mobile,0,Direct
WEB900327,C100024,2025-07-28,6,8.5,Mobile,0,Paid Search
WEB900328,C100024,2025-07-23,11,7.9,Mobile,0,Organic Search
WEB900329,C100024,2023-09-13,3,3.5,Mobile,0,Direct
WEB900330,C100024,2022-01-02,4,3.8,Mobile,0,Direct
WEB900331,C100024,2025-01-17,8,5.5,Mobile,0,Organic Search
WEB900332,C100024,2026-02-03,9,9.6,Desktop,0,Paid Search
WEB900333,C100024,2022-01-11,10,19.3,Mobile,0,Email
WEB900334,C100024,2021-10-12,10,8.7,Desktop,0,Organic Search
WEB900335,C100025,2026-06-04,6,6.1,Mobile,0,Paid Search
WEB900336,C100025,2024-07-30,6,6.3,Mobile,0,Direct
WEB900337,C100025,2024-05-24,4,5.6,Mobile,0,Paid Search
WEB900338,C100025,2022-09-21,11,11.1,Mobile,1,Direct
WEB900339,C100025,2026-04-29,7,12.3,Desktop,0,Email
WEB900340,C100025,2026-07-10,11,8.3,Mobile,0,Direct
WEB900341,C100025,2024-05-07,5,11.6,Desktop,0,Direct
WEB900342,C100026,2024-08-01,9,6.5,Mobile,0,Social
WEB900343,C100026,2023-04-01,8,6.5,Desktop,1,Direct
WEB900344,C100026,2024-05-24,4,4.5,Desktop,0,Email
WEB900345,C100026,2021-11-13,8,5.0,Mobile,0,Email
WEB900346,C100026,2024-10-01,6,10.2,Desktop,0,Email
WEB900347,C100026,2024-07-22,9,8.2,Mobile,0,Social
WEB900348,C100026,2025-04-14,9,8.6,Mobile,0,Paid Search
WEB900349,C100026,2024-04-27,12,8.7,Mobile,1,Organic Search
WEB900350,C100026,2026-06-25,9,11.9,Mobile,0,Paid Search
WEB900351,C100026,2023-06-05,8,5.0,Mobile,0,Organic Search
WEB900352,C100026,2023-02-05,4,7.9,Mobile,0,Email
WEB900353,C100026,2026-02-17,8,23.5,Mobile,0,Organic Search
WEB900354,C100026,2022-10-14,6,4.1,Mobile,1,Organic Search
WEB900355,C100026,2021-12-05,10,10.3,Mobile,0,Organic Search
WEB900356,C100026,2021-10-20,6,7.4,Mobile,0,Social
WEB900357,C100026,2021-12-27,7,10.7,Desktop,0,Organic Search
WEB900358,C100026,2024-04-26,3,8.8,Desktop,0,Direct
WEB900359,C100026,2024-02-12,7,6.0,Tablet,0,Direct
WEB900360,C100027,2024-03-17,6,6.9,Mobile,0,Paid Search
WEB900361,C100028,2025-12-18,7,9.6,Desktop,0,Direct
WEB900362,C100028,2026-02-24,5,11.0,Tablet,0,Paid Search
WEB900363,C100028,2025-07-22,4,2.9,Mobile,0,Direct
WEB900364,C100028,2025-02-19,10,13.0,Mobile,0,Social
WEB900365,C100028,2025-06-13,7,8.1,Desktop,0,Paid Search
WEB900366,C100028,2026-04-11,11,8.2,Desktop,1,Direct
WEB900367,C100028,2025-07-16,9,5.7,Mobile,0,Direct
WEB900368,C100028,2026-06-01,10,9.1,Mobile,0,Social
WEB900369,C100028,2026-01-06,13,11.8,Mobile,0,Paid Search
WEB900370,C100028,2025-05-13,5,5.7,Mobile,0,Social
WEB900371,C100028,2025-10-05,9,4.9,Mobile,0,Email
WEB900372,C100028,2025-04-23,4,6.9,Desktop,0,Direct
WEB900373,C100028,2026-04-04,9,11.5,Mobile,0,Organic Search
WEB900374,C100028,2025-05-30,14,8.1,Mobile,0,Paid Search
WEB900375,C100028,2026-02-21,7,4.9,Mobile,0,Paid Search
WEB900376,C100028,2026-07-06,13,7.9,Tablet,0,Paid Search
WEB900377,C100028,2025-10-11,9,11.3,Mobile,0,Social
WEB900378,C100029,2024-03-12,7,8.5,Mobile,0,Direct
WEB900379,C100029,2024-11-11,7,6.6,Mobile,0,Organic Search
WEB900380,C100029,2026-08-05,9,9.1,Tablet,0,Paid Search
WEB900381,C100029,2024-08-17,11,8.2,Mobile,0,Paid Search
WEB900382,C100029,2025-10-11,8,4.9,Mobile,0,Direct
WEB900383,C100029,2023-07-17,10,9.3,Mobile,0,Email
WEB900384,C100029,2026-02-02,6,6.2,Mobile,0,Direct
WEB900385,C100029,2025-06-22,5,6.8,Mobile,0,Email
WEB900386,C100029,2026-01-14,5,4.7,Mobile,0,Organic Search
WEB900387,C100029,2025-05-26,4,6.0,Mobile,0,Organic Search
WEB900388,C100029,2026-04-30,8,5.6,Mobile,0,Organic Search
WEB900389,C100029,2023-09-26,3,6.1,Desktop,0,Direct
WEB900390,C100029,2024-02-24,8,7.1,Mobile,1,Direct
WEB900391,C100029,2024-02-20,4,11.2,Mobile,0,Paid Search
WEB900392,C100029,2024-02-25,8,7.4,Mobile,0,Direct
WEB900393,C100029,2025-07-04,13,11.7,Desktop,0,Direct
WEB900394,C100030,2026-05-22,4,3.3,Mobile,0,Organic Search
WEB900395,C100030,2023-10-21,14,9.5,Mobile,0,Direct
WEB900396,C100030,2025-06-12,5,3.0,Tablet,0,Social
WEB900397,C100030,2024-03-15,11,12.6,Desktop,0,Paid Search
WEB900398,C100030,2024-06-09,7,6.6,Mobile,0,Direct
WEB900399,C100030,2024-03-16,10,5.9,Mobile,0,Organic Search
WEB900400,C100030,2025-11-02,9,6.4,Desktop,0,Paid Search
